#dim half(ms) single(ms) double(ms)
5747200 0.242144 0.453728 0.897536
5760000 0.249504 0.455200 0.900640
5772800 0.247968 0.489952 0.899104
5785600 0.247936 0.455456 0.905344
5798400 0.246880 0.459744 0.908480
5811200 0.245120 0.459712 0.908192
5824000 0.248192 0.455872 0.912192
5836800 0.244128 0.462336 0.908864
5849600 0.246208 0.462976 0.912608
5862400 0.247520 0.475008 0.919424
5875200 0.249152 0.462496 0.950464
5888000 0.247040 0.467328 0.914368
5900800 0.246048 0.465632 0.930976
5913600 0.253632 0.465664 0.921152
5926400 0.247104 0.462432 0.920384
5939200 0.251424 0.468896 0.931584
5952000 0.255744 0.467520 0.932864
5964800 0.268896 0.463968 0.940064
5977600 0.256160 0.468672 0.941248
5990400 0.257312 0.466496 0.936448
6003200 0.252192 0.473344 0.931648
6016000 0.256544 0.477344 0.970624
6028800 0.252448 0.474432 0.955040
6041600 0.254048 0.476992 0.972640
6054400 0.252288 0.476992 0.946272
6067200 0.255488 0.478400 0.953024
6080000 0.253920 0.480416 0.945920
6092800 0.261216 0.479264 0.950464
6105600 0.261632 0.482144 0.950144
6118400 0.256576 0.479200 0.959264
6131200 0.255296 0.477792 0.964448
6144000 0.264096 0.483168 0.964864
6156800 0.263840 0.481088 0.954496
6169600 0.262880 0.485600 0.968736
6182400 0.260608 0.487296 0.965248
6195200 0.258752 0.488192 0.959616
6208000 0.257248 0.485024 0.970976
6220800 0.262528 0.494912 0.981696
6233600 0.262432 0.485728 0.980448
6246400 0.261088 0.492160 0.976320
6259200 0.263168 0.494048 0.971840
6272000 0.260640 0.505056 0.980352
6284800 0.270592 0.491520 0.980896
6297600 0.276352 0.491680 0.980992
6310400 0.273312 0.493888 0.990080
6323200 0.277056 0.497248 0.987680
6336000 0.277568 0.501856 0.986592
6348800 0.276256 0.494528 0.982944
6361600 0.277984 0.546048 1.016128
6374400 0.277184 0.496352 0.997440
6387200 0.279904 0.498368 0.998112
6400000 0.277248 0.509312 0.996736
6412800 0.276512 0.506304 1.003040
6425600 0.285344 0.502464 1.004448
6438400 0.279872 0.505856 1.000128
6451200 0.283616 0.507744 1.005984
6464000 0.285856 0.511008 1.016320
6476800 0.279264 0.508864 1.011744
